vocab,type,meaning,weight
beep,v,作嗶嗶聲;吹警笛,0
beg,v,乞討;懇求,0
belt,v,用皮帶抽打;環繞;猛擊,0
bend,v,折彎;轉彎,0
bet,v,以(錢;物等)打賭,0
bill,v,記入帳,0
bind,v,捆;綁,0
blind,v,"使看不見,使失明;使失去理智",0
board,v,上車;上船,0
boil,v,(水等)沸騰;開;滾,0
bomb,v,"轟炸,投彈;慘敗",0
borrow,v,借,0
boss,v,指揮;作威作福,0
bother,v,煩擾,0
bottle,v,"把...裝入瓶中;約束,抑制(感情);隱藏",0
bow,v,鞠躬,0
branch,v,出枝;分支;分岔,0
brand,v,印...商標於,0
brief,v,簡報;作...的提要,0
broadcast,v,廣播,0
brush,v,刷,0
burn,v,燒;燙傷,0
burst,v,爆開;闖入,0
button,v,扣鈕扣,0
cable,v,發越洋電報,0
calm,v,變安靜;使鎮定,0
cancel,v,取消,0
carpet,v,在...上鋪地毯;斥責,0
cart,v,用運貨車裝運,0
cartoon,v,畫漫畫;畫草圖,0
cash,v,兌現,0
cave,v,"塌落,倒坍",0
chalk,v,使變白;畫出...的草圖;規劃;記下,0
change,v,改變;更改,0
charge,v,索價;充電,0
cheat,v,欺騙;作弊,0
choose,v,選擇;挑選,0
circle,v,畫圓圈;圈出;盤旋;流傳,0
claim,v,聲稱,0
clap,v,拍(手);鼓(掌),0
claw,v,用爪子抓,0
clothe,v,給...穿衣;為...提供衣服,0
clown,v,開玩笑;裝傻,0
club,v,募集;捐獻;集資;聯合起來,0
coach,v,"訓練,指導,輔導;乘馬車旅行",0
coin,v,"鑄造(貨幣);創造,杜撰(新詞等)",0
collect,v,收集,0
comb,v,用梳子梳理,0
compare,v,比較,0
complain,v,抱怨,0
complete,v,完成,0
confirm,v,確認,0
conflict,v,"矛盾,衝突",0
consider,v,考慮,0
contact,v,接觸;聯繫,0
contain,v,包含;容納,0
control,v,控制,0
copy,v,拷貝;抄襲,0
cough,v,咳嗽,0
couple,v,連接;結合;成婚;交配,0
court,v,向...獻殷勤;追求;引誘;求婚,0
crane,v,伸(頸),0
create,v,創造,0
crop,v,收成,0
cross,v,越過;渡過,0
crow,v,"得意洋洋,幸災樂禍",0
crowd,v,擠滿;聚集,0
cure,v,治癒,0
curtain,v,"(用簾子)遮掉,隔開",0
damage,v,損害,0
dawn,v,"破曉, 頓悟",0
debate,v,辯論,0
decorate,v,佈置,0
delay,v,延緩;使延期,0
deliver,v,"遞送;發表,講;給……接生",0
deny,v,"否定,否認",0
depend,v,依賴,0
describe,v,描述,0
desert,v,遺棄;離棄;逃跑,0
design,v,設計,0
desire,v,渴望;要求;想與...發生性關係,0
detect,v,查出,0
develop,v,發展,0
dial,v,撥(電話號碼),0
disagree,v,"不一致,不符",0
disappear,v,消失,0
discuss,v,討論,0
display,v,陳列;展出,0
distance,v,使疏遠,0
divide,v,分開;除以,0
dot,v,"點綴; 打點,加點",0
double,v,加倍,0
doubt,v,懷疑,0
drag,v,"拉,拖",0
dress,v,穿著,0
drop,v,(使)滴落;丟下,0
drug,v,使服麻醉藥;使服毒品,0
drum,v,打鼓;咚咚地敲,0
dull,v,弄鈍;使不活躍;減少;減輕,0
earn,v,賺到,0
effect,v,造成;招致,0
elect,v,選出,0
encourage,v,鼓勵;助長,0
enjoy,v,喜歡;享受,0
excite,v,使興奮;使激動,0
excuse,v,原諒;借光,0
exercise,v,"鍛鍊;操練;練習;運用,行使",0
exist,v,存在,0
expect,v,期待,0
experience,v,經歷;感受,0
explain,v,解釋,0
express,v,表示,0
fail,v,失敗;不及格,0
fault,v,挑...的毛病;產生斷層,0
favor,v,"支持,擁護;有利於",0
fence,v,用柵(或籬)圍起來;防護;保衛,0
figure,v,估計;描繪,0
film,v,把...拍成電影;生薄膜,0
firm,v,使穩固;使牢固;變堅實,0
fit,v,合身;適合,0
fix,v,修理,0
flag,v,"打旗號表示;衰退,低落",0
flash,v,使閃光;使閃爍,0
flat,v,使變平;降半音,0
flood,v,淹沒;使泛濫,0
flour,v,撒粉於;把...磨成粉,0
flow,v,(河水等)流動,0
flute,v,用長笛奏(樂曲),0
focus,v,集中,0
fool,v,愚弄,0
forgive,v,原諒,0
form,v,形成,0
forward,v,轉遞,0
frighten,v,害怕;吃驚,0
function,v,起作用,0
further,v,更遠地;進一步地;促進;助長,0
gain,v,得到;增進,0
garage,v,把(汽車等)送入車庫(或修理廠),0
gather,v,集合,0
glue,v,黏住;緊附,0
golf,v,打高爾夫球,0
govern,v,統治;管理,0
grade,v,將...分等級;將...分類,0
greet,v,問候;致敬,0
guard,v,保衛;看守,0
hammer,v,敲打,0
handle,v,處理;搬弄,0
hang,v,把…掛起;吊,0
hide,v,躲;隱藏,0
hire,v,雇用,0
hop,v,單足跳,0
hum,v,哼曲子,0
humble,v,使謙卑;使威信掃地,0
hunt,v,追獵,0
hurry,v,趕快,0
ignore,v,不理睬,0
imagine,v,想像,0
improve,v,改善,0
include,v,包含,0
increase,v,增加,0
indicate,v,指出,0
influence,v,"影響,感化;左右",0
ink,v,用墨水寫;簽署;簽訂(合同等),0
insist,v,堅持,0
instance,v,舉...為例;引證,0
interview,v,面談;採訪,0
introduce,v,介紹,0
invent,v,發明,0
invite,v,邀請,0
jam,v,擠;夾傷,0
jazz,v,使活潑;奏爵士樂;遊蕩,0
jog,v,慢跑,0
joint,v,"連接,接合",0
judge,v,判斷;審判,0
knock,v,敲,0
lend,v,出借,0
lick,v,舔,0
limit,v,限定,0
link,v,聯繫,0
locate,v,把...設置在;使...座落於,0
lock,v,鎖住,0
log,v,伐(林木);把...記入航海日誌,0
lose,v,輸;失去,0
lower,v,"放下,降下;放低;減低;減弱",0
maintain,v,維持;保養,0
mark,v,做記號,0
mask,v,在(臉上)戴面具;掩飾,0
match,v,相配,0
mate,v,使交配,0
measure,v,計量,0
mine,v,開礦;佈雷;破壞,0
mirror,v,"反映,反射",0
mix,v,混合,0
model,v,塑像;當模特兒,0
motion,v,"打手勢;搖(或點)頭示意;擺動,走",0
multiply,v,"乘,使相乘",0
nail,v,"將...釘牢;捕獲;揭露;擊,打",0
narrow,v,變窄;收縮;減少,0
needle,v,"(用話)刺激,挑逗;用針縫",0
neighbor,v,與...為鄰,0
nest,v,築巢;巢居;伏窩,0
net,v,用網捕;使淨賺,0
nod,v,點頭,0
obey,v,服從,0
object,v,反對,0
occur,v,發生;出現,0
offer,v,提供,0
omit,v,略過,0
operate,v,運作;運轉;動手術,0
organize,v,使有條理;安排,0
pack,v,包裝,0
package,v,把...打包;包裝,0
pain,v,"使煩惱,使痛苦;使疼痛",0
pardon,v,寬恕,0
parrot,v,機械地模仿,0
paste,v,黏貼,0
pat,v,"輕拍,撫拍",0
pattern,v,"仿造,模仿",0
pepper,v,加胡椒粉於;使佈滿;嚴懲,0
perfect,v,使完美;做完,0
phone,v,打電話,0
photo,v,給...拍照; 拍照;在照片上顯得,0
photograph,v,拍照,0
phrase,v,"用言語表達,用(詞)",0
pick,v,採收;撿起;選,0
picnic,v,"去野餐,參加野餐;在戶外用餐",0
pile,v,堆起,0
pillow,v,枕著頭;靠,0
pin,v,釘住;壓住;按住;把...歸罪於,0
pipe,v,用管道輸送;吹奏管樂;尖聲叫嚷,0
pitch,v,搭(帳篷);紮(營);為...定調,0
plate,v,鍍;電鍍,0
poison,v,"放毒,下毒",0
pose,v,擺姿勢,0
post,v,郵寄;登入(分類帳等);發表,0
pot,v,把...放在罐(或鍋)裡;亂射,0
pound,v,敲打;(心等)劇跳;腳步沈重地走,0
praise,v,讚美,0
pray,v,禱告,0
prefer,v,更喜歡,0
present,v,提出,0
press,v,"壓,擠;催逼",0
pride,v,"使得意,以...自豪",0
prize,v,"重視,珍視;估價",0
produce,v,製造;出產,0
progress,v,"前進;進行;上進,提高,進步",0
project,v,"計劃;企劃;突出,伸出;投射",0
promise,v,答應,0
pronounce,v,發...音,0
propose,v,提議,0
protect,v,保護,0
provide,v,供應,0
pump,v,跳動;使用唧筒,0
punish,v,處罰,0
puzzle,v,使迷惑,0
quarter,v,把...四等分;供...住宿;;駐紮,0
quit,v,放棄;離職,0
quiz,v,"挖苦,嘲弄;考問",0
range,v,排列,0
realize,v,認知;實現,0
record,v,記錄;錄音,0
refuse,v,拒絕,0
regard,v,把...看作;尊重,0
reject,v,拒絕,0
repeat,v,重複,0
reply,v,回答,0
require,v,需要,0
respect,v,尊敬,0
result,v,"發生,產生;結果;導致",0
review,v,溫習;回顧,0
rock,v,搖動,0
rush,v,催促;急送,0
sample,v,取...的樣品;抽樣檢查,0
sandwich,v,"將..夾在中間,擠進",0
satisfy,v,使滿意,0
sauce,v,給...加調味汁,0
score,v,得分,0
screen,v,篩選;放映電影,0
search,v,搜尋;搜查,0
section,v,把...分成段(或組等);將...切片,0
select,v,挑選,0
separate,v,分隔,0
settle,v,安放;安頓;解決(問題等),0
share,v,分享,0
shell,v,剝...的殼;砲轟;射擊,0
shock,v,使震動,0
shoot,v,注射;射擊;拍攝,0
shower,v,傾注;洗淋浴,0
sign,v,簽字;做信號,0
silence,v,使沈默;使啞口無言;使安靜,0
single,v,"選出,挑出;擊出一壘安打",0
sink,v,沉下;陷於,0
skirt,v,"繞開,避開",0
slide,v,滑壘滑動,0
slim,v,"減肥;減少,縮減",0
slip,v,滑動;鬆脫,0
snack,v,吃快餐;吃點心,0
solve,v,解決,0
sort,v,把...分類,0
speed,v,加速;促進,0
spot,v,沾污;察出,0
spread,v,展開;散布,0
spring,v,彈開;湧現;源(於),0
stage,v,上演;籌劃;發動,0
stamp,v,頓足;蓋印,0
steal,v,偷竊,0
steam,v,蒸,0
steel,v,鋼化;給...包上鋼,0
stick,v,黏貼;刺;戮;釘住;插牢;堅持,0
storm,v,猛攻,0
stream,v,流;蜂擁而進,0
stress,v,強調,0
stretch,v,"舒展肢體,伸懶腰",0
strike,v,打擊;(鐘)敲響,0
string,v,"(用線,繩)縛,紮,掛",0
struggle,v,掙扎;對抗,0
subtract,v,"減,減去",0
succeed,v,成功,0
suit,v,適合;相稱;彼此協調,0
supply,v,"供給,供應",0
support,v,支持,0
surface,v,"顯露,呈現;起床,露面",0
survive,v,在...之後仍然活著,0
swallow,v,吞嚥,0
sweep,v,掃,0
swing,v,搖擺;揮動,0
tape,v,用帶子捆紮;用錄音帶為...錄音(或影),0
target,v,把...作為目標(或對象),0
task,v,派給...任務;要...做一項工作,0
team,v,使合作;結成一隊,0
tear,v,撕,0
telephone,v,"打電話,通電話",0
term,v,"把...稱為,把...叫做",0
test,v,試驗;測驗,0
thumb,v,用拇指翻動;迅速翻閱;豎起拇指要求搭車,0
thunder,v,打雷;大聲斥責;威嚇,0
tip,v,給小費;使傾斜,0
title,v,加標題於;授頭銜於,0
toast,v,烤;乾杯,0
toe,v,用腳尖走(或站),0
tongue,v,舔;用舌吹(管樂器);發(音),0
tour,v,帶...作巡迴演出,0
towel,v,用毛巾擦,0
tower,v,"高聳,屹立;勝過;高飛,翱翔",0
track,v,跟蹤;沿著(道路)走,0
trade,v,"交換; 做買賣,進行交易",0
traffic,v,"在...上通行;交易,來來往往",0
trap,v,設陷阱,0
travel,v,旅行,0
treasure,v,珍愛,0
treat,v,對待;治療,0
trick,v,欺騙,0
truck,v,用卡車運送,0
trumpet,v,吹喇叭,0
trust,v,信任,0
tunnel,v,挖掘隧道,0
type,v,打字,0
uniform,v,使成一樣;使一律化,0
vacation,v,度假,0
value,v,"估價,評價;尊重;重視",0
vote,v,投票,0
wake,v,叫醒,0
wave,v,揮動,0
wed,v,娶;嫁,0
wet,v,"把...淋濕,打濕,弄濕;尿濕",0
wheel,v,"旋轉,轉動",0
whisper,v,"低語,耳語",0
widen,v,加寬;擴大,0
wing,v,在...裝翼;飛行,0
wire,v,用金屬絲縛;拍電報,0
wonder,v,納悶,0
wound,v,傷害,0
abroad,adv,在國外,0
alike,adv,"一樣地,相似地",0
aloud,adv,大聲地,0
altogether,adv,完全地;總共,0
anyhow,adv,"無論如何,總之",0
anyplace,adv,任何地方(=anywhere),0
anytime,adv,在任何時候,0
anyway,adv,不管怎樣,0
anywhere,adv,任何地方,0
backward,adv,向後地;落後地,0
backwards,adv,"向後;倒,逆;往回,向原處",0
besides,adv,並且,0
beyond,adv,在更遠處,0
cheap,adv,便宜地;卑鄙地,0
daily,adv,每日,0
double,adv,雙倍地;加倍地;雙重地,0
downtown,adv,往城市商業區,0
especially,adv,特別地,0
express,adv,用快遞;由直達快車;特意地,0
extra,adv,"額外地;另外;特別地,非常地",0
fair,adv,"公平地,公正地;正面地",0
firm,adv,穩固地;牢固地,0
flat,adv,"平直地,仰臥地;恰恰,正好;斷然地",0
forward,adv,向前地,0
forwards,adv,"向前;往後,今後;提前地",0
further,adv,而且;再者,0
hardly,adv,"幾乎不,簡直不",0
however,adv,"無論如何,不管怎樣",0
ill,adv,惡劣地;困難地;不利地,0
increasingly,adv,漸增地,0
nearby,adv,在附近,0
nearly,adv,"幾乎,差不多;密切地,親密地",0
neither,adv,也不,0
none,adv,"毫不,決不",0
overseas,adv,在海外,0
rather,adv,寧可;頗為,0
simply,adv,"簡單地,簡易地;簡明地;只不過",0
somewhere,adv,在某處,0
straight,adv,"直,挺直地;正直地;立刻",0
therefore,adv,因此,0
through,adv,"穿過,通過;從頭至尾;(電話)接通",0
throughout,adv,處處;始終;在所有方面,0
whenever,adv,無論什麼時候,0
wherever,adv,無論什麼地方,0
wild,adv,狂暴地;無控制地;胡亂地,0
within,adv,在內部,0
without,adv,在沒有(或缺少)的情況下,0
besides,prep,除...之外,0
beyond,prep,越出;晚於;在...那一邊,0
following,prep,在...以後,0
minus,prep,減（去）,0
per,prep,"經,由;每;按照",0
plus,prep,加(上),0
through,prep,經過,0
throughout,prep,遍及,0
upon,prep,在...之上,0
within,prep,在…裡; 不超過,0
without,prep,沒有,0
worth,prep,值得(做...),0
although,conj,雖然,0
neither,conj,也不,0
whenever,conj,無論什麼時候;每當,0
wherever,conj,無論在哪裡,0
ability,n,能力;專門技能,0
absence,n,缺席,0
addition,n,加;附加,0
advance,n,前進;發展;預付,0
affair,n,事件;風流韻事;喜慶活動,0
aid,n,幫助;助手;助聽器,0
aim,n,"目標,目的",0
aircraft,n,航空器;飛機,0
airline,n,航空公司,0
alarm,n,警鈴;警報;驚慌,0
album,n,相簿;集郵簿;唱片集,0
almond,n,杏仁,0
alphabet,n,字母,0
amount,n,總數,0
ankle,n,腳踝,0
apartment,n,公寓,0
appearance,n,出現;顯露;外貌,0
appetite,n,"胃口,食慾",0
apron,n,圍裙;工作裙,0
argument,n,爭論,0
armchair,n,扶手椅子,0
arrangement,n,安排;準備工作,0
arrest,n,逮捕;遏止,0
arrow,n,箭;箭號,0
artist,n,藝術家,0
assistant,n,助手,0
attack,n,攻擊,0
attention,n,注意;專心,0
baby-sitter,n,保姆,0
bakery,n,麵包店,0
balcony,n,陽臺,0
bamboo,n,竹子,0
banker,n,銀行家;莊家,0
barbecue,n,烤肉,0
bark,n,吠聲,0
basement,n,地下室,0
basics,n,基礎;基本原理(或原則),0
basis,n,基礎,0
battle,n,戰鬥;戰役,0
bead,n,有孔小珠,0
bean,n,豆莢;豆子,0
beard,n,鬍子,0
bedroom,n,臥房,0
beef,n,牛肉,0
beep,n,嗶嗶的聲音,0
beer,n,啤酒,0
beetle,n,甲蟲,0
beginner,n,新手,0
belief,n,相信;信仰,0
belt,n,腰帶,0
bench,n,長凳;長椅,0
bend,n,彎;曲;俯,0
bet,n,打賭,0
bill,n,帳單; 鈔票,0
blackboard,n,黑板,0
blank,n,空白,0
board,n,木板;膳食;車上;船上; 董事會,0
boil,n,沸騰;煮沸;翻滾,0
bomb,n,炸彈,0
bookcase,n,書架,0
boss,n,老闆,0
bother,n,"煩惱,麻煩;使人煩惱的人(或事物)",0
bottle,n,瓶子,0
bow,n,弓,0
bowling,n,保齡球戲,0
brain,n,"腦;智力,頭腦",0
branch,n,樹枝;支部,0
brand,n,商標,0
brick,n,磚塊,0
brief,n,概要;訴書;短而緊的內褲;簡報,0
broadcast,n,廣播;廣播節目;散佈;播種,0
brunch,n,早午餐,0
brush,n,刷子,0
bun,n,小圓麵包,0
bundle,n,捆;大量,0
burger,n,漢堡牛肉餅,0
burn,n,灼傷,0
burst,n,爆炸;破裂;缺口,0
business,n,商業;事,0
button,n,鈕扣,0
cabbage,n,包心菜,0
cable,n,纜索;有線電視,0
café,n,小餐館;咖啡廳,0
cafeteria,n,自助餐館,0
calendar,n,日曆;月曆;行事曆,0
calm,n,安靜;鎮定;平靜;無風,0
cancer,n,癌症,0
candle,n,蠟燭,0
captain,n,隊長;機長;艦長,0
carpet,n,地毯,0
carrot,n,胡蘿蔔,0
cart,n,手推車,0
cartoon,n,卡通,0
cash,n,現款,0
cassette,n,卡式磁帶,0
castle,n,城堡,0
catsup,n,果醬;番茄醬,0
cave,n,"洞穴,洞窟",0
ceiling,n,天花板,0
cell,n,單人牢房;細胞;蜂房的巢室;電池,0
century,n,一世紀,0
cereal,n,麥片,0
chalk,n,粉筆,0
change,n,零錢,0
character,n,特性;角色;(中文)字,0
charge,n,費用;充電,0
cheat,n,"騙子;欺詐,欺騙,作弊",0
chemical,n,化學製品;化學藥品,0
chess,n,西洋棋,0
chin,n,下巴,0
chocolate,n,巧克力,0
choice,n,選擇,0
chopstick,n,筷子,0
circle,n,圓圈;集團,0
citizen,n,市民;公民,0
claim,n,"主張,斷言",0
clap,n,拍手喝采(聲);霹靂聲;輕拍,0
classic,n,古典著作,0
claw,n,"(動物的)爪,腳爪;(蟹,蝦等的)鉗,螯",0
clay,n,黏土,0
cleaner,n,清潔工;乾洗店;吸塵器;清潔劑,0
clerk,n,店員;辦事員;職員,0
climate,n,氣候,0
closet,n,壁櫥;衣櫥,0
cloth,n,"布;(棉,毛,合成纖維等)織物;衣料",0
clothes,n,衣服,0
clothing,n,"(總稱)衣服,衣著",0
clown,n,"小丑,丑角",0
club,n,俱樂部;夜總會;社團,0
coach,n,教練,0
coal,n,煤,0
cock,n,公雞,0
cockroach,n,蟑螂,0
coin,n,硬幣,0
comb,n,梳子,0
company,n,公司,0
completion,n,"完成,實現",0
computer,n,電腦,0
conflict,n,"抵觸,不一致",0
Confucius,n,孔子,0
congratulation,n,祝賀,0
contact,n,接觸;隱形眼鏡,0
control,n,支配;控制;操縱裝置;指揮部,0
controller,n,主計官;主管;控制器,0
conversation,n,會話,0
cooker,n,"炊具,烹調器具",0
copy,n,拷貝;副本,0
corner,n,角落,0
cotton,n,棉花,0
cough,n,咳嗽,0
countryside,n,"鄉間,農村",0
county,n,郡,0
couple,n,一對,0
courage,n,勇氣,0
court,n,法庭；(網球等的)場地,0
cousin,n,表(堂)兄弟姊妹,0
crab,n,螃蟹,0
crane,n,"起重機,吊車",0
crayon,n,蠟筆,0
cream,n,奶油,0
crime,n,犯罪,0
crisis,n,危機;緊急關頭,0
crop,n,作物,0
cross,n,十字架,0
crowd,n,群眾,0
culture,n,文化,0
cure,n,痊癒,0
curtain,n,窗簾;(舞臺上的)幕,0
custom,n,習俗,0
customer,n,顧客,0
daily,n,日報,0
damage,n,損害,0
data,n,"資料,數據",0
dawn,n,黎明,0
debate,n,辯論,0
debt,n,"債,借款",0
decision,n,決定,0
degree,n,程度,0
delay,n,延遲;耽擱,0
dentist,n,牙醫,0
department,n,部門,0
depth,n,"深度,厚度",0
desert,n,沙漠;(常複數)賞罰;(尤指)懲罰,0
design,n,圖案;設計,0
desire,n,渴望,0
dessert,n,餐後甜點,0
development,n,生長;發展,0
dew,n,露水;朝氣,0
dial,n,刻度盤;調節器;撥號盤,0
diamond,n,鑽石,0
diary,n,日記,0
dictionary,n,字典,0
difference,n,差別,0
difficulty,n,困難,0
dinosaur,n,恐龍,0
direction,n,方向; 指示,0
director,n,董事;局長;主任;導演,0
disagreement,n,意見不一;不一致,0
discussion,n,討論,0
display,n,"展覽,陳列",0
distance,n,距離,0
divide,n,"分歧,不和;分水嶺",0
division,n,區域;部分;除(法),0
dolphin,n,海豚,0
donkey,n,驢子,0
dot,n,點;小圓點,0
double,n,兩倍,0
doubt,n,懷疑,0
doughnut,n,油炸圈餅,0
downtown,n,城市商業區,0
drag,n,拖曳,0
dragon,n,龍,0
dragonfly,n,蜻蜓,0
drama,n,戲劇,0
drawer,n,抽屜,0
drawing,n,"描繪,素描;製圖;抽籤;提款",0
dress,n,洋裝,0
drop,n,(一)滴;點滴;空投;點藥水,0
drug,n,藥品;毒品,0
drugstore,n,(常兼售雜貨的)藥房,0
drum,n,鼓,0
dryer,n,烘衣機,0
dumpling,n,餃子,0
duty,n,義務;關稅,0
earthquake,n,地震,0
education,n,教育,0
effect,n,效力;作用,0
effort,n,努力,0
elder,n,長輩,0
element,n,"要素,成分",0
elevator,n,電梯;升降機,0
